"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.449,0.58,0,-12.869,1,0.242,0.766,1.35e-06,0.545,0.447,78.808,"6XwqNIqbxmGgmhdotUu2jT","https://api.spotify.com/v1/audio-analysis/6XwqNIqbxmGgmhdotUu2jT",3,1,223136,FALSE,"https://api.spotify.com/v1/tracks/6XwqNIqbxmGgmhdotUu2jT",FALSE,"James Wesley Jackson's opening monologue & band intros - Live","https://p.scdn.co/mp3-preview/21da75b17066a98e4255c12c2350eeed9341c3ba?cid=e188d9db0a404bde8520197a511c47e2",1,"track","spotify:track:6XwqNIqbxmGgmhdotUu2jT","https://open.spotify.com/track/6XwqNIqbxmGgmhdotUu2jT","The Mind Of The Universe (Live Passaic '78)","C","major","C major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.498,0.899,9,-13.39,0,0.0396,0.00639,0.48,0.139,0.401,130.957,"3RPfAaNS599SAqhTd52s0D","https://api.spotify.com/v1/audio-analysis/3RPfAaNS599SAqhTd52s0D",4,1,284372,FALSE,"https://api.spotify.com/v1/tracks/3RPfAaNS599SAqhTd52s0D",FALSE,"Uncle Jam - Live","https://p.scdn.co/mp3-preview/03fa8e0516dadd93873a4b38c85dde3a56e4b9b3?cid=e188d9db0a404bde8520197a511c47e2",2,"track","spotify:track:3RPfAaNS599SAqhTd52s0D","https://open.spotify.com/track/3RPfAaNS599SAqhTd52s0D","The Mind Of The Universe (Live Passaic '78)","A","minor","A minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.437,0.797,7,-11.574,1,0.111,0.122,0,0.754,0.727,104.289,"66ijK9NJ8BBI70xZK39iPa","https://api.spotify.com/v1/audio-analysis/66ijK9NJ8BBI70xZK39iPa",4,1,1271940,TRUE,"https://api.spotify.com/v1/tracks/66ijK9NJ8BBI70xZK39iPa",FALSE,"Cholly (Funk Gettin' Ready To Roll) /I Got A Thing, You Got A Thing, Everybody's Got A Thing - Live","https://p.scdn.co/mp3-preview/e6459297e048e2202db270d169df8a4b6d12e035?cid=e188d9db0a404bde8520197a511c47e2",3,"track","spotify:track:66ijK9NJ8BBI70xZK39iPa","https://open.spotify.com/track/66ijK9NJ8BBI70xZK39iPa","The Mind Of The Universe (Live Passaic '78)","G","major","G major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.508,0.801,6,-11.188,0,0.0589,0.0842,0.000576,0.204,0.851,106.748,"2nc2CRws0umYoNEyHVgLfZ","https://api.spotify.com/v1/audio-analysis/2nc2CRws0umYoNEyHVgLfZ",4,1,443444,TRUE,"https://api.spotify.com/v1/tracks/2nc2CRws0umYoNEyHVgLfZ",FALSE,"Cosmic Slop - Live","https://p.scdn.co/mp3-preview/3242fa9e0845fcc15e0abd3f22ecc05342b02dc1?cid=e188d9db0a404bde8520197a511c47e2",4,"track","spotify:track:2nc2CRws0umYoNEyHVgLfZ","https://open.spotify.com/track/2nc2CRws0umYoNEyHVgLfZ","The Mind Of The Universe (Live Passaic '78)","F#","minor","F# minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.6,0.881,9,-12.093,1,0.0991,0.238,5.71e-06,0.0851,0.748,110.124,"1u5j21QWvsRADmFk9fCJbD","https://api.spotify.com/v1/audio-analysis/1u5j21QWvsRADmFk9fCJbD",4,1,1152987,TRUE,"https://api.spotify.com/v1/tracks/1u5j21QWvsRADmFk9fCJbD",FALSE,"Give Up The Funk / Night Of The Thumpasorus Peoples - Live","https://p.scdn.co/mp3-preview/e36188ce75e063df0ccb3dc55b732850ad17b3a6?cid=e188d9db0a404bde8520197a511c47e2",5,"track","spotify:track:1u5j21QWvsRADmFk9fCJbD","https://open.spotify.com/track/1u5j21QWvsRADmFk9fCJbD","The Mind Of The Universe (Live Passaic '78)","A","major","A major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.537,0.836,2,-11.213,0,0.116,0.02,0.0112,0.349,0.766,103.317,"1sniR67MyYOAyki4bWQH2f","https://api.spotify.com/v1/audio-analysis/1sniR67MyYOAyki4bWQH2f",4,1,577819,TRUE,"https://api.spotify.com/v1/tracks/1sniR67MyYOAyki4bWQH2f",FALSE,"Red Hot Mama - Live","https://p.scdn.co/mp3-preview/57861c346ca12f162ca72a6f453d4ca3699c55db?cid=e188d9db0a404bde8520197a511c47e2",6,"track","spotify:track:1sniR67MyYOAyki4bWQH2f","https://open.spotify.com/track/1sniR67MyYOAyki4bWQH2f","The Mind Of The Universe (Live Passaic '78)","D","minor","D minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.434,0.633,4,-12.612,0,0.0795,0.338,0,0.542,0.681,134.19,"2wrt8d9U8gKS2NHAyfvonz","https://api.spotify.com/v1/audio-analysis/2wrt8d9U8gKS2NHAyfvonz",4,1,428226,TRUE,"https://api.spotify.com/v1/tracks/2wrt8d9U8gKS2NHAyfvonz",FALSE,"Into You - Live","https://p.scdn.co/mp3-preview/672584e2e8b6fa8cb16802d890133d7d0ee1e72f?cid=e188d9db0a404bde8520197a511c47e2",7,"track","spotify:track:2wrt8d9U8gKS2NHAyfvonz","https://open.spotify.com/track/2wrt8d9U8gKS2NHAyfvonz","The Mind Of The Universe (Live Passaic '78)","E","minor","E minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.488,0.948,10,-11.533,0,0.0884,0.0359,9.16e-05,0.393,0.476,121.422,"5T6eoEETT1teQHebBC1ZUS","https://api.spotify.com/v1/audio-analysis/5T6eoEETT1teQHebBC1ZUS",4,1,1021180,TRUE,"https://api.spotify.com/v1/tracks/5T6eoEETT1teQHebBC1ZUS",FALSE,"Standing On The Verge Of Getting It On /drum solo/ Standing On The Verge Of Getting It On (reprise) - Live","https://p.scdn.co/mp3-preview/d0f348b64511f7faf4c96ef9e4a2c6a95bc1271d?cid=e188d9db0a404bde8520197a511c47e2",8,"track","spotify:track:5T6eoEETT1teQHebBC1ZUS","https://open.spotify.com/track/5T6eoEETT1teQHebBC1ZUS","The Mind Of The Universe (Live Passaic '78)","A#","minor","A# minor"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.422,0.901,2,-10.538,1,0.284,0.229,0,0.332,0.544,109.029,"1cp0PX8VtW2uYuX7qh1M0e","https://api.spotify.com/v1/audio-analysis/1cp0PX8VtW2uYuX7qh1M0e",4,1,1510157,TRUE,"https://api.spotify.com/v1/tracks/1cp0PX8VtW2uYuX7qh1M0e",FALSE,"One Nation Under A Groove - Live","https://p.scdn.co/mp3-preview/69796f16c15372aafa886dc05b16a79dd2a8e41d?cid=e188d9db0a404bde8520197a511c47e2",9,"track","spotify:track:1cp0PX8VtW2uYuX7qh1M0e","https://open.spotify.com/track/1cp0PX8VtW2uYuX7qh1M0e","The Mind Of The Universe (Live Passaic '78)","D","major","D major"
"Parliament Funkadelic","6XswoC68grx55in1WQnJ7E","3M7EfPOUNKaDcjcX9usYTu","album","2023-11-16",2023,"day",0.521,0.872,1,-11.609,0,0.285,0.165,0,0.78,0.521,106.794,"7Fb7x3rxWU4VfupMUTv2eA","https://api.spotify.com/v1/audio-analysis/7Fb7x3rxWU4VfupMUTv2eA",4,1,1184089,TRUE,"https://api.spotify.com/v1/tracks/7Fb7x3rxWU4VfupMUTv2eA",FALSE,"Mothership Connection (Star Child) - Live","https://p.scdn.co/mp3-preview/1f41870b957bd52812d4cca8af49c0a7f684f92c?cid=e188d9db0a404bde8520197a511c47e2",10,"track","spotify:track:7Fb7x3rxWU4VfupMUTv2eA","https://open.spotify.com/track/7Fb7x3rxWU4VfupMUTv2eA","The Mind Of The Universe (Live Passaic '78)","C#","minor","C# minor"
